Caption,Image Link,Eng. Rate by Followers,Date,Type
This is CLIMATE DENIAL.⁣⁣Soon-to-be-President Trump thinks climate change isn’t our problem for one simple reason — he’s funded by the same people causing it.⁣⁣Because this is what climate change looks like. And it’s brought to you by Oil giants like Shell.⁣⁣Fossil fuels account for over 75% of global greenhouse gas emissions. Drilling and burning these fuels heats our planet which means less rain in summer dryer lands and stronger winds in winter — and more days like this in California and around the world.⁣⁣Enough is enough.⁣⁣We must demand that governments put people and the planet before the profits of big polluters >> LINK IN BIO greenpeace⁣⁣Our hearts go out to the people animals and ecosystems affected by these devastating wildfires and worsening extreme weather around the world ❤️‍🩹. ⁣⁣Let’s #MakePollutersPay for the climate loss and damage they’ve caused.⁣⁣#StopDrillingStartPaying⁣,https://imgs.socialinsider.io/instagram/2025/01/greenpeace_17886839715091811.jpeg,1.10121,2025-01-17 02:15 PM,VIDEO
🚨 Big Oil pushed us past 1.5°C - time to make them pay! ⁣⁣Sign the petition - link in bio greenpeace⁣⁣Cover video by stuartpalley⁣⁣#stopdrillingstartpaying⁣,https://scontent-fra5-2.cdninstagram.com/v/t51.29350-15/472088061_1147163447079748_8433556536605321230_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=3x-msaUlnGoQ7kNvgHldec2&_nc_oc=AdnKbRzInwnLAPDUMGcLYrkHT-F9JCVAbmnCQdiv7HBj_1FPZW0Za9lZRSKJHBhPyVE&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=OWur6Rg1_d4GFll779jd2w&oh=00_AYEJNlJ9wBRirlVWiSwJdDjPRWeGJRHXWbbO1jCiuYwWjQ&oe=67E4A890,1.08814,2025-01-10 01:18 PM,CAROUSEL_ALBUM
1.5 degrees is not a target.  It is not a goal.  It is a physical limit.⁣⁣UnitedNations Secretary-General antonioguterres called for us to directly confront the fossil fuel industry who are relentless in obstructing efforts to curb the #climatecrisis⁣ ⁣They spend billions on distorting the truth deceiving the public and sowing doubt. Its time to make them pay for their destruction. (See link in bio for more information)⁣.⁣.⁣.⁣⁣Images of CEOs are staged and doctored for illustrative purposes. Illustrations are created without the use of generative AI.⁣⁣⁣⁣#stopdrillingstartpaying,https://imgs.socialinsider.io/instagram/2024/06/greenpeace_18095022169430543.jpeg,1.07468,2024-06-23 03:00 PM,reel
Big Oil is still racking up grotesque profits. Companies that caused the climate crisis are getting rich as they fuel the fire.ExxonMobil: $55.7 billionShell: $39.87 billionBP: $27.7 billionTotalEnergies: $36.2 billion*2022 USDTime to make polluters pay for damage theyve caused https://act.gp/3WbGvYk Credit: jonesycartoons2 ...#StopDrillingStartPaying #EndFossilFuels #ClimateCrisis #LossAndDamage #MakePollutersPay,https://imgs.socialinsider.io/instagram/2025/01/greenpeace_17996707499727349.jpeg,1.04002,2025-01-09 12:45 PM,IMAGE
As the planet burns and the rich grow richer the link between inequality and environmental destruction becomes undeniable.⁣⁣Billionaires emit more carbon pollution in 90 minutes than the average person does in a lifetime.⁣⁣“The super-rich are treating our planet like their personal playground setting it ablaze for pleasure and profit. Their dirty investments and luxury toys —private jets and yachts— aren’t just symbols of excess they’re a direct threat to people and the planet.” Oxfam International Executive Director Amitabh Behar⁣⁣To save our planet we must tackle the root causes of inequality.⁣⁣There’s enough money for a green and fair world.💚🌍⁣⁣It’s just in the wrong pockets. ⁣.⁣.⁣.⁣Image credits: Fair Start Movement  #TaxTheSuperRich  #FightInequality,https://imgs.socialinsider.io/instagram/2025/03/greenpeace_17938657310992847.jpeg,0.95537,2025-03-24 12:29 PM,CAROUSEL_ALBUM
Weve had a few issues with Meta and havent been able to post for over 20 days but WE ARE BACK 🙌​Climate breakdown fuelled record extreme weather events in 2024 hottest year on record.Lets turn towards 2025 with hope courage and unity and hold the super rich and Big Oil accountable for damage they’ve done to our homes communities and climate ✊​📸​: greenpeaceafrica #MakePollutersPay #StopDrillingStartPaying #ClimateCrisis #PeoplePower,https://imgs.socialinsider.io/instagram/2025/01/greenpeace_18088180549543065.jpeg,0.91829,2025-01-08 12:16 PM,IMAGE
Isnt it completely ABSURD to destroy precious ecosystems such as some of Europes last ancient forests to produce packaging? 📦Online shopping is booming and a new report by greenpeacesverige links big players like Amazon Zalando and HelloFresh to the destruction of Swedens old-growth forests.Lets demand better! Its time for e-commerce giants to shift to reusable solutions and clean up their supply chains to protect our forests before its too late.🎨 Cartoon: Max Gustafson (gustafson.max)Go to greenpeace.org/international or tap the link in our Instagram bio to read more.#report #investigation #deforestation #clearcutting #forest #forestprotection #sweden #sverige #greenpeace #greenpeacesverige #Sámi #IndigenousPeoples #IndigenousRights #onlineshopping #ecommerce #Amazon #HelloFresh #Zalando #packaging #cardboard #unboxing,https://imgs.socialinsider.io/instagram/2024/05/greenpeace_18025013672137685.jpeg,0.91157,2024-05-27 12:50 PM,IMAGE
There’s enough money for a green and fair world but it’s just in the wrong pockets! We must STOP letting BILLIONAIRES profit from destruction and start making them pay for SOLUTIONS.⁣⁣As the planet burns and the rich grow richer the link between inequality and environmental destruction is undeniable. ⁣⁣The richest 1% are responsible for more emissions than 66% of the world’s population polluting and plundering the planet for their own gain.⁣⁣To save our planet we must tackle the root causes of inequality. It’s time to make rich polluting elites pay.⁣⁣We’re urging governments to tax the super-rich now and use those funds to support people and protect the planet.⁣⁣Go to link in bio greenpeace to sign the Tax The Super Rich petition now.☝️#TaxTheSuperRich #fightinequality #taxtherich #climatecrisis #extremeweather #livesbeforeprofits #costofliving,https://imgs.socialinsider.io/instagram/2025/04/greenpeace_18068035945905340.jpeg,0.90119,2025-04-06 06:15 PM,CAROUSEL_ALBUM
As extreme weather intensifies more and more people are realising its the oil and gas corporations fault. Their operations are making extreme weather worse by the day. ⁣⁣Storms fuelled by global warming leave behind debris: remnants of lives shattered by Big Oils pollution.⁣⁣Are oil companies paying for their dues for the #climatecrisis? Nah instead big oil is suing Greenpeace and others trying to silence those standing to protect the environment 😳⁣⁣It is time to deliver climate justice. ⁣⁣#stopdrillingstartpaying⁣.⁣.⁣.⁣*The CEOs image in this post is staged and edited for illustration. It was created without generative AI. We don’t like generative AI.⁣,https://imgs.socialinsider.io/instagram/2024/11/greenpeace_18470610037036596.jpeg,0.88453,2024-11-08 11:04 AM,CAROUSEL_ALBUM
Shocking. A recent report reveals global wildlife populations have shrunk by an average of 73% in the past 50 years.⁣⁣Global biodiversity is collapsing - but its not just a threat to wildlife - its a fundamental threat to HUMANITY.⁣⁣⁣A major reason for wildlife loss is habitat destruction and problematic land use by humans. An astronomical amount of land is dedicated to cows (and feeding cows) which feed a small population with big appetites. Huge swaths of suburban and rural land are dedicated to grass lawns that provide nothing to the ecosystem and require toxic chemicals to maintain. All that land was once habitat.⁣⁣⁣Biodiversity is essential to life on earth. We must change the way we use our land in order to bring wildlife back from the brink.⁣⁣⁣We need to make a massive switch to more plant-based diets wherever possible plant native and support habitat restoration!⁣⁣⁣The UN Biodiversity #COP16 currently taking place in Cali Colombia is a critical opportunity to change course on a more global scale and make the radical systemic changes that our planet desperately needs.⁣⁣Tap the link in our Instagram bio to read more and take action⁠⁣⁣⁣#biodiversity #biodiversitycrisis #climatecrisis #ecosystems #COP16Colombia #COP16 ⁣#greenpeace #wildlife #plantbased #vegetarian #vegan #lessmeatlessheat,https://imgs.socialinsider.io/instagram/2024/10/greenpeace_17946564425767505.jpeg,0.87962,2024-10-24 01:07 PM,CAROUSEL_ALBUM
“Nothing is as powerful as an idea whose time has come.”🎉 The US State of Vermont has passed a groundbreaking ‘Make Polluters Pay’ law.This new law gives the state the power to make big oil pay their fair share for the climate damages they have caused.The 2023 floods alone cost Vermonters over US$ 1 billion. Many are still recovering.🏚️ Without this new Climate Superfund the costs of climate-fuelled extreme weather falls on everyday people.Vermont isn’t alone. 👷 California the fifth largest economy in the world is working on a similar bill. Along with states like New York Massachusetts and Maryland.Vermont’s new law is a HUGE step towards holding polluters accountable and easing the financial burden on communities. Vermont’s climate superfund is a bold move for climate justice that sets a clear precedent for the rest of the world.An additional tax on fossil fuel majors based in the OECD countries could raise $720 billion for loss and damage by the end of the decade. (The Climate Damages Tax report)👉 Join the movement - sign the petition. Link in bio greenpeace#StopDrillingStartPaying,https://imgs.socialinsider.io/instagram/2024/06/greenpeace_17866484277135487.jpeg,0.87898,2024-06-08 10:50 PM,CAROUSEL_ALBUM
The world has baked for 12 consecutive months with global average temperatures 1.64°C over pre-industrial averages according to the Copernicus Climate Change Service.⁣⁣Floods fires and heat waves have shattered homes claimed lives and ruined people’s health while major oil and gas corporations continue to profit jointly earning US$ 2.8 billion on average every day over the past 50 years. ⁣⁣Fossil fuel corporations amongst the primary contributors to climate change have historically denied climate science and spent billions of US$ to hinder climate action. ⁣⁣Sign the petition to make the oil and gas industry pay for the loss and damage it creates.⁣⁣Link in bio greenpeace#stopdrillingstartpaying ⁣,https://imgs.socialinsider.io/instagram/2024/07/greenpeace_17905212051003591.jpeg,0.86929,2024-07-10 03:15 PM,CAROUSEL_ALBUM
Introducing the winner of the most coveted award in environmental hypocrisy: dove 🏆..In a crowded field Dove have excelled themselves deceiving their customers with false eco claims and going above and beyond to harm the environment. .If Dove’s exploitative marketing and destructive business practices make you angry we need YOU. Please pledge to ditch Dove products this year to show Dove the world is watching and their greenwashing wont be tolerated. Click the link in bio for more....#LetsChangeDove #DoveRealHarm #RealBeauty #PlasticsTreaty #BreakFreeFromPlastic,https://imgs.socialinsider.io/instagram/2024/05/greenpeace_18023884112278813.jpeg,0.86466,2024-05-15 08:19 AM,CAROUSEL_ALBUM
Big Oil is TRASHING the planet. Pass it on.⁠⁣⁠⁣Anyone else think its high time the fossil fuel industry was made to stop drilling for more oil and gas and start paying for their climate destruction?⁣⁣As greedy corporations and billionaire CEOs line their pockets they are worsening extreme weather disasters endangering workers escalating household costs and destroying the ecosystems life depends on.⁣⁣Its time to hold major polluters to account and make them pay for the damage theyve done. Link in bio greenpeace⁣.⁣.⁣#StopDrillingStartPaying #EndFossilFuels #TaxTheSuperRich #MakePollutersPay #ClimateCrisis⁣⁣,https://imgs.socialinsider.io/instagram/2025/03/greenpeace_18034170455302730.jpeg,0.77168,2025-03-16 02:15 PM,CAROUSEL_ALBUM
Billionaires can afford protection from climate chaos but the rest of us cant. Lets hold the wealthy and Big Oil accountable. ⁣⁣⁣⁣Its time to make them pay. Sign the petition. Link in bio.⁣.⁣.⁣.⁣repost: greenpeaceafrica⁣#stopdrillingstartpaying #climatechange,https://imgs.socialinsider.io/instagram/2024/07/greenpeace_18026577365229161.jpeg,0.76848,2024-07-05 02:10 PM,IMAGE
🔥 In 2024 the Brazilian Amazon lost 17.9 MILLION HECTARES to fire an area larger than Bulgaria and Portugal combined.⁣⁣The Amazon spans nine South American countries and is home to 3 million Indigenous people representing over 390 peoples who speak 240 living languages. It’s not just their home it is also a vital lifeline for all of us and for our planet.⁣⁣We all depend on the Amazon for a liveable future. If we don’t act now we risk losing it forever.⁣⁣Help protect the Amazon 🌍 Go to act.gp/4jlEzFT or tap the link in our Instagram bio to add your voice.⁣⁣#RespectTheAmazon #HarrisonFord #Amazon #IndigenousPeoples #IndigenousRights #climatecrisis #biodiversitycrisis #forestfires,https://imgs.socialinsider.io/instagram/2025/04/greenpeace_18044994500122085.jpeg,0.76743,2025-04-05 11:31 AM,reel
The world is once again being gripped by devastating flooding right now.⁠⁣Brazil and East Africa have been hit by some of the most extreme floods in their history. Hundreds of people have lost their lives and the number of victims continues to rise day by day. Many other regions are affected by torrential rain and flooding including some Gulf States Turkey China and Indonesia.⁠✊Enough is enough. Extreme weather events are getting stronger and more dangerous while fossil fuel companies are continuing to pursue profit over lives. Its time to hold these companies accountable for their role in driving this crisis. Big Oil must stop drilling for new fossil fuels and start paying for its climate damage. ⁣⁣👉 Tap the link in our Instagram bio (greenpeace) to take action and hold big polluters to account.⁠⁣⁣#Floods #Kenya #Brazil #Brasil #Burundi #Tanzania #Turkey #Yemen #China #Indonesia #ClimateCrisis #ExtremeWeather #ClimateBreakdown #LossAndDamage #MakePollutersPay⁣ #TaxOilProfits #PollutersMustPay #LivesBeforeProfits #stopdrillingstartpaying,https://scontent-fra5-2.cdninstagram.com/v/t51.29350-15/441320171_822970749689179_8449926471206468136_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=BEkhNbJHnW4Q7kNvgH647Qi&_nc_oc=Adj1ClMU5IrbEVFqtRua_bpbDJp2Sze0r63nK9Lu6Zp9rFlOwOHuJwVj9uLxUiYakZs&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=0kI6mShe6LFBdIuuNUN-NA&oh=00_AYGHm1repFi8FxDxtpR_6wUDMxl6VB3mVpV4fBEw2RY08Q&oe=67DE757E,0.72145,2024-05-07 02:37 PM,CAROUSEL_ALBUM
🚨BREAKING: Greenpeace UK activists have just turned the US Embassy pond in London red because the US government has BLOOD on its hands. ⁠⁣⁠⁣The US is fuelling the unfolding genocide in Gaza - they’re STILL sending billions of dollars of weapons to the Israeli government - who have broken the ceasefire killing hundreds while blocking VITAL aid and seizing large parts of the Gaza strip.⁠⁣⁠⁣But the UK is responsible too. The Israeli PM is wanted for war crimes - yet the UK government is STILL selling him weapons even though they’ve recognised the clear risk that these weapons could be used in violation of international law. ⁠⁣⁠⁣Over 50000 people have been killed and nearly 2 million people have been displaced. We must stop the killing.⁠⁣⁠⁣Tell Keir Starmer to stop arming Israel and call on Donald Trump to stop too. Take action now. Link in bio. greenpeaceuk⁣⁣#CeasefireNow⁣,https://scontent-fra5-2.cdninstagram.com/v/t51.29350-15/490113673_9214675971974105_234100902425403991_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=gfWl-QcxcMQQ7kNvwGOthhM&_nc_oc=AdnvZ4DxzfSskOexmTV2V3ucbwNQEc5BOL1nOV-jr2D0Bz3Cb6zN1txjrT_ZWo0p34k&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=bXdj2YpuK4ezTPYDb0lBWA&oh=00_AfHMvu5N7bUhBkc-eHzMhgF5MfTZQapJ9wKdKByVaBdwpw&oe=680724FE,0.70445,2025-04-10 04:48 PM,CAROUSEL_ALBUM
Reminder: Most of the world’s soya is grown for the meat industry.⁣⁣One of the most useful things everyone can do to combat climate change soil air and water pollution ocean dead zones and myriad other problems is to eat drastically less meat and dairy.⁣⁣We need a MASSIVE shift towards more plant-based diets especially in rich meat-eating countries.⁣⁣Tap the link in our Instagram bio to read more ⁣⁣#meat #lessmeat #nomeat #plantbased #govegetarian #govegan #climatecrisis #biodiversitycrisis #soy #soya #plantbasedfood #lessmeatlessheat #food #memes #yellowcard #MaxFosh,https://imgs.socialinsider.io/instagram/2024/07/greenpeace_17916374861953251.jpeg,0.68904,2024-07-14 02:05 PM,IMAGE
Make it make sense...😵‍💫⁣⁣Tap the link in our bio to hold the oil and gas corporations accountable and support a safe and fair future for all.⁣⁣#climatechange #climatescience #makepolluterspay #stopdrillingstartpaying #extremeweather,https://imgs.socialinsider.io/instagram/2024/10/greenpeace_18243039322286519.jpeg,0.68704,2024-10-12 11:00 AM,CAROUSEL_ALBUM
Recycling is a fart in a hurricane - it alone won’t save us.⁠⁣⁠⁣Most plastic isn’t recycled - instead it’s shipped overseas to places like Turkey where its dumped burned or left to rot.⁣⁣Corporations keep churning out more plastic knowing full well we can’t deal with the waste. We need to stop making so much plastic in the first place.⁣⁣Time for real action. Time for a Global #PlasticsTreaty that forces corporations & governments to reduce plastic production instead of just shifting the mess around 🌍⁠⁣⁠⁣Agree? Tap the link in our bio to add your name⁠⁣⁠⁣#plastic #recycling #wastecolonialism #plasticfree #singleuseplastic #plasticpollution #climatecrisis⁠⁣⁠⁣📸 Credits:⁠⁠⁣Image 2: earthlyeducation ⁠⁣Image 3: spellingmistakescostlives⁣⁣via greenpeaceuk,https://scontent-fra3-1.cdninstagram.com/v/t51.29350-15/483627086_1224075785906928_7305077817148740841_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=0obrBfFPXKAQ7kNvwEzNcmJ&_nc_oc=Adkn2A_i3jeez8_kU9kCd7tWYppoXJpVnfVaLDqsWTM8BrrTcqvLa6EfhajnMW39wBg&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=gPezej16rapMeuOm5u8uzg&oh=00_AfFc4avAw2ZmjwPZc-L5fUpPwougjNYAIcYr1csw7lpnBQ&oe=680735D8,0.68494,2025-03-10 10:49 AM,CAROUSEL_ALBUM
With #AllEyesOnRafah Greenpeace echoes the clarion call for a #CeasefireNow. The horror must stop. Sanity and humanity must be restored. No more civilians should be killed or harmed in this bitter war. ⁣⁣We call for an immediate release of all hostages. We call for the Israeli Government to immediately end the blockades on the supply of food water medicine and fuel to the citizens of Gaza. We call for the release of all illegally detained civilians.⁣⁣Violence is never the answer. Beyond the urgent need to end the civilian suffering and ecological devastation all parties must resume peaceful negotiations towards a lasting peace built on safety justice and equal rights.⁣⁣#Gaza #Rafah #CeasefireNow #AllEyesOnRafah,https://imgs.socialinsider.io/instagram/2024/05/greenpeace_17980637045526316.jpeg,0.67791,2024-05-07 12:42 PM,IMAGE
August July and on and on how many ‘hottest ever’ months can we tolerate before we make Big Oil stop drilling for new fossil fuels and start paying for its climate damage?#StopDrillingStartPaying #HottestAugust #HottestJuly #NOAA #simpsonsmeme,https://imgs.socialinsider.io/instagram/2024/09/greenpeace_18366341839105156.jpeg,0.65106,2024-09-13 06:57 PM,CAROUSEL_ALBUM
⚠️ ALL IS NOT LOST ⚠️ The news cycle is tremendously disheartening. Extreme weather events ever-widening inequalities and the skyrocketing cost of living the rise of the far right misinformation the ravings of the tech broligarchy wars and genocide. Its heavy. We have a formidable amount of obstacles in our way. But don’t lose sight of the fact that it isn’t too late. If we accept the climate science that shows how greenhouse gas emissions are heating our world we also need to accept when climate scientists say there is still a window of opportunity.Every fraction of a degree matters - and it’s not over yet.via greenpeace_canada earthlyeducation #climatecrisis #climatechange #hope #hopeinaction #activehope #climatescience,https://imgs.socialinsider.io/instagram/2025/02/greenpeace_18484914244029513.jpeg,0.6427,2025-02-07 03:01 PM,IMAGE
71 years ago the people of the Marshall Islands witnessed something unimaginable—a second sun rising over their horizon. 🌅 On that day the U.S. detonated the largest nuclear bombing in history on Bikini Atoll..Today we remember the legacy the Marshallese people carry forward. - Jimwe im Maron - Justice!.Read more about the history in the link in bio....#MarshallIslands #NuclearJustice  #History #JusticeforMarshallIslands #ClimateJustice #JimweImMaron,https://scontent-fra3-1.cdninstagram.com/v/t51.29350-15/481812239_9249203988527600_5977255473077765977_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=tv7B9aZsnj4Q7kNvwFLoJLC&_nc_oc=AdlDczZoJ0LeHB672qSgqaLqbvLhrix6Vu_cXBGA9pp3Abs3GA2ffx8aEx6LqAiIgZY&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=PVA6SkJBF0YhWBm71XL6cg&oh=00_AfGjYU0tNlBTZU3IQplErUip3oebGyI7oRBPZL4Or7HB6w&oe=6807174F,0.6358,2025-02-28 06:25 AM,CAROUSEL_ALBUM
Have you ever imagined a greener São Paulo?With the municipal elections coming up Greenpeace teamed up with jankamensky to show that a cleaner and fairer future for access to the city can become a reality.It may seem like a dream to see the River Tietê once again become a living space in the country’s most populous metropolis.To live this transformation we need efficient public policies that adapt cities to the current climate reality.This power is also in your hands. Research the candidates’ proposals and choose those who have plans to tackle the climate crisis and its unequal impacts. Make a difference!To learn more about the issue download the free #ConfirmaPeloClima Guide. The link is in the bio and story of greenpeacebrasil.Com as eleições municipais se aproximando o Greenpeace colaborou com jankamensky para mostrar que um futuro mais limpo e justo no acesso à cidade pode se tornar realidade.Pode parecer sonho ver o Rio Tietê voltar a ser um espaço de vida dentro da metrópole mais populosa do país.Para vivermos essa transformação precisamos de políticas públicas eficientes que adaptem as cidades para a atual realidade climática.Esse poder está também em suas mãos. Pesquise as propostas dos candidatos e candidatas da sua cidade e escolha quem tem projetos de enfrentamento à crise do clima e aos impactos desiguais. Faça a diferença!Para saber mais sobre o tema baixe gratuitamente o Guia #ConfirmaPeloClima. O link está na bio e no story do greenpeacebrasil,https://imgs.socialinsider.io/instagram/2024/09/greenpeace_17951283653736508.jpeg,0.62829,2024-09-25 08:10 PM,CAROUSEL_ALBUM
